== vae_miniwan_womd: miniwan, 5.60M params, world 4, per-rank batch 6 x accum 1 = effective 24; 1666 steps/epoch, 83300 steps total
{"VAE_ZDIM": 16, "VAE_DIM": 20, "VAE_NUM_RES_BLOCKS": 2, "VAE_INPUT_NORM": true, "INPUT_NORM_MEAN": [0.6014379089315451, 0.6051588518894708, 0.6036423582790911], "INPUT_NORM_STD": [0.08911796400949443, 0.08588843954384612, 0.1257365217955014], "VAE_DROPOUT": 0.1, "VAE_STREAMING": false, "FRAMES": 33, "IMG": 96, "FPS": 7, "DATASET": "womd_7hz_f33", "INIT": "miniwan", "EPOCHS": 50, "EFFECTIVE_BATCH": 24, "VAE_LR": 0.0002, "VAE_LR_END": 1e-06, "WARMUP_FRAC": 0.1, "VAE_WD": 1e-05, "KL_W": 0.0003, "KL_WARM_FRAC": 0.1, "VAE_LPIPS_W": 0.05, "VAE_LPIPS_NET": "alex", "GRAD_CLIP": 1.0, "PRECISION": "bf16", "SEED": 0}
[vae_miniwan_womd] ep   0 (init) val PSNR 5.142 LPIPS 0.8628 MSE 0.306638
  step 8600 (270/1666 this epoch) | 489 ms/step | ~11 min left in epoch | rec 0.00177 lpips 0.0487 lr 2.00e-04
  step 8700 (370/1666 this epoch) | 489 ms/step | ~11 min left in epoch | rec 0.00179 lpips 0.0486 lr 2.00e-04
  step 8800 (470/1666 this epoch) | 489 ms/step | ~10 min left in epoch | rec 0.00177 lpips 0.0484 lr 2.00e-04
  step 8900 (570/1666 this epoch) | 490 ms/step | ~9 min left in epoch | rec 0.00177 lpips 0.0482 lr 2.00e-04
  step 9000 (670/1666 this epoch) | 490 ms/step | ~8 min left in epoch | rec 0.00177 lpips 0.0481 lr 2.00e-04
  step 9100 (770/1666 this epoch) | 490 ms/step | ~7 min left in epoch | rec 0.00175 lpips 0.0477 lr 2.00e-04
  step 9200 (870/1666 this epoch) | 490 ms/step | ~6 min left in epoch | rec 0.00174 lpips 0.0474 lr 2.00e-04
  step 9300 (970/1666 this epoch) | 490 ms/step | ~6 min left in epoch | rec 0.00173 lpips 0.0471 lr 2.00e-04
  step 9400 (1070/1666 this epoch) | 490 ms/step | ~5 min left in epoch | rec 0.00173 lpips 0.0469 lr 2.00e-04
  step 9500 (1170/1666 this epoch) | 490 ms/step | ~4 min left in epoch | rec 0.00172 lpips 0.0468 lr 2.00e-04
  step 9600 (1270/1666 this epoch) | 490 ms/step | ~3 min left in epoch | rec 0.00172 lpips 0.0466 lr 2.00e-04
  step 9700 (1370/1666 this epoch) | 490 ms/step | ~2 min left in epoch | rec 0.00171 lpips 0.0465 lr 2.00e-04
  step 9800 (1470/1666 this epoch) | 490 ms/step | ~2 min left in epoch | rec 0.00170 lpips 0.0463 lr 2.00e-04
  step 9900 (1570/1666 this epoch) | 490 ms/step | ~1 min left in epoch | rec 0.00170 lpips 0.0461 lr 2.00e-04
[vae_miniwan_womd] ep   6/50 train rec 0.001697 LPIPS 0.0461 KL 0.629 (816s) | val PSNR 28.487 LPIPS 0.0771 MSE 0.001573  *best*
  step 10000 (4/1666 this epoch) | 508 ms/step | ~14 min left in epoch | rec 0.00181 lpips 0.0460 lr 2.00e-04
  step 10100 (104/1666 this epoch) | 489 ms/step | ~13 min left in epoch | rec 0.00165 lpips 0.0438 lr 2.00e-04
  step 10200 (204/1666 this epoch) | 490 ms/step | ~12 min left in epoch | rec 0.00165 lpips 0.0436 lr 2.00e-04
  step 10300 (304/1666 this epoch) | 489 ms/step | ~11 min left in epoch | rec 0.00165 lpips 0.0435 lr 2.00e-04
  step 10400 (404/1666 this epoch) | 489 ms/step | ~10 min left in epoch | rec 0.00164 lpips 0.0434 lr 2.00e-04
  step 10500 (504/1666 this epoch) | 489 ms/step | ~9 min left in epoch | rec 0.00163 lpips 0.0433 lr 2.00e-04
  step 10600 (604/1666 this epoch) | 490 ms/step | ~9 min left in epoch | rec 0.00161 lpips 0.0429 lr 2.00e-04
  step 10700 (704/1666 this epoch) | 490 ms/step | ~8 min left in epoch | rec 0.00160 lpips 0.0427 lr 2.00e-04
  step 10800 (804/1666 this epoch) | 490 ms/step | ~7 min left in epoch | rec 0.00159 lpips 0.0425 lr 1.99e-04
  step 10900 (904/1666 this epoch) | 490 ms/step | ~6 min left in epoch | rec 0.00158 lpips 0.0424 lr 1.99e-04
  step 11000 (1004/1666 this epoch) | 490 ms/step | ~5 min left in epoch | rec 0.00158 lpips 0.0423 lr 1.99e-04
  step 11100 (1104/1666 this epoch) | 489 ms/step | ~5 min left in epoch | rec 0.00158 lpips 0.0422 lr 1.99e-04
  step 11200 (1204/1666 this epoch) | 489 ms/step | ~4 min left in epoch | rec 0.00157 lpips 0.0421 lr 1.99e-04
  step 11300 (1304/1666 this epoch) | 489 ms/step | ~3 min left in epoch | rec 0.00157 lpips 0.0420 lr 1.99e-04
  step 11400 (1404/1666 this epoch) | 489 ms/step | ~2 min left in epoch | rec 0.00157 lpips 0.0419 lr 1.99e-04
  step 11500 (1504/1666 this epoch) | 489 ms/step | ~1 min left in epoch | rec 0.00157 lpips 0.0418 lr 1.99e-04
  step 11600 (1604/1666 this epoch) | 489 ms/step | ~1 min left in epoch | rec 0.00161 lpips 0.0427 lr 1.99e-04
[vae_miniwan_womd] ep   7/50 train rec 0.001727 LPIPS 0.0486 KL 0.621 (815s) | val PSNR 25.416 LPIPS 0.1837 MSE 0.003105
  step 11700 (38/1666 this epoch) | 490 ms/step | ~13 min left in epoch | rec 0.00301 lpips 0.1157 lr 1.99e-04
  step 11800 (138/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00269 lpips 0.0978 lr 1.99e-04
  step 11900 (238/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00249 lpips 0.0879 lr 1.99e-04
  step 12000 (338/1666 this epoch) | 489 ms/step | ~11 min left in epoch | rec 0.00237 lpips 0.0813 lr 1.99e-04
  step 12100 (438/1666 this epoch) | 489 ms/step | ~10 min left in epoch | rec 0.00227 lpips 0.0763 lr 1.99e-04
  step 12200 (538/1666 this epoch) | 490 ms/step | ~9 min left in epoch | rec 0.00219 lpips 0.0722 lr 1.99e-04
  step 12300 (638/1666 this epoch) | 490 ms/step | ~8 min left in epoch | rec 0.00212 lpips 0.0687 lr 1.99e-04
  step 12400 (738/1666 this epoch) | 489 ms/step | ~8 min left in epoch | rec 0.00206 lpips 0.0658 lr 1.99e-04
  step 12500 (838/1666 this epoch) | 489 ms/step | ~7 min left in epoch | rec 0.00201 lpips 0.0635 lr 1.98e-04
  step 12600 (938/1666 this epoch) | 489 ms/step | ~6 min left in epoch | rec 0.00197 lpips 0.0615 lr 1.98e-04
  step 12700 (1038/1666 this epoch) | 489 ms/step | ~5 min left in epoch | rec 0.00194 lpips 0.0599 lr 1.98e-04
  step 12800 (1138/1666 this epoch) | 489 ms/step | ~4 min left in epoch | rec 0.00190 lpips 0.0583 lr 1.98e-04
  step 12900 (1238/1666 this epoch) | 489 ms/step | ~3 min left in epoch | rec 0.00188 lpips 0.0570 lr 1.98e-04
  step 13000 (1338/1666 this epoch) | 489 ms/step | ~3 min left in epoch | rec 0.00185 lpips 0.0558 lr 1.98e-04
  step 13100 (1438/1666 this epoch) | 489 ms/step | ~2 min left in epoch | rec 0.00183 lpips 0.0549 lr 1.98e-04
  step 13200 (1538/1666 this epoch) | 489 ms/step | ~1 min left in epoch | rec 0.00181 lpips 0.0540 lr 1.98e-04
  step 13300 (1638/1666 this epoch) | 489 ms/step | ~0 min left in epoch | rec 0.00180 lpips 0.0532 lr 1.98e-04
[vae_miniwan_womd] ep   8/50 train rec 0.001791 LPIPS 0.0529 KL 0.640 (815s) | val PSNR 28.780 LPIPS 0.0589 MSE 0.001467  *best*
  step 13400 (72/1666 this epoch) | 489 ms/step | ~13 min left in epoch | rec 0.00154 lpips 0.0401 lr 1.98e-04
  step 13500 (172/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00153 lpips 0.0401 lr 1.98e-04
  step 13600 (272/1666 this epoch) | 489 ms/step | ~11 min left in epoch | rec 0.00150 lpips 0.0398 lr 1.98e-04
  step 13700 (372/1666 this epoch) | 489 ms/step | ~11 min left in epoch | rec 0.00150 lpips 0.0398 lr 1.97e-04
  step 13800 (472/1666 this epoch) | 489 ms/step | ~10 min left in epoch | rec 0.00150 lpips 0.0396 lr 1.97e-04
  step 13900 (572/1666 this epoch) | 489 ms/step | ~9 min left in epoch | rec 0.00149 lpips 0.0395 lr 1.97e-04
  step 14000 (672/1666 this epoch) | 489 ms/step | ~8 min left in epoch | rec 0.00149 lpips 0.0393 lr 1.97e-04
  step 14100 (772/1666 this epoch) | 489 ms/step | ~7 min left in epoch | rec 0.00148 lpips 0.0392 lr 1.97e-04
  step 14200 (872/1666 this epoch) | 489 ms/step | ~6 min left in epoch | rec 0.00147 lpips 0.0391 lr 1.97e-04
  step 14300 (972/1666 this epoch) | 489 ms/step | ~6 min left in epoch | rec 0.00147 lpips 0.0390 lr 1.97e-04
  step 14400 (1072/1666 this epoch) | 489 ms/step | ~5 min left in epoch | rec 0.00147 lpips 0.0389 lr 1.97e-04
  step 14500 (1172/1666 this epoch) | 489 ms/step | ~4 min left in epoch | rec 0.00147 lpips 0.0388 lr 1.97e-04
  step 14600 (1272/1666 this epoch) | 489 ms/step | ~3 min left in epoch | rec 0.00146 lpips 0.0387 lr 1.97e-04
  step 14700 (1372/1666 this epoch) | 489 ms/step | ~2 min left in epoch | rec 0.00146 lpips 0.0386 lr 1.96e-04
  step 14800 (1472/1666 this epoch) | 489 ms/step | ~2 min left in epoch | rec 0.00146 lpips 0.0385 lr 1.96e-04
  step 14900 (1572/1666 this epoch) | 489 ms/step | ~1 min left in epoch | rec 0.00146 lpips 0.0385 lr 1.96e-04
[vae_miniwan_womd] ep   9/50 train rec 0.001459 LPIPS 0.0384 KL 0.637 (815s) | val PSNR 29.066 LPIPS 0.0423 MSE 0.001367  *best*
  step 15000 (6/1666 this epoch) | 500 ms/step | ~14 min left in epoch | rec 0.00140 lpips 0.0347 lr 1.96e-04
  step 15100 (106/1666 this epoch) | 490 ms/step | ~13 min left in epoch | rec 0.00141 lpips 0.0368 lr 1.96e-04
  step 15200 (206/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00141 lpips 0.0371 lr 1.96e-04
  step 15300 (306/1666 this epoch) | 490 ms/step | ~11 min left in epoch | rec 0.00141 lpips 0.0369 lr 1.96e-04
  step 15400 (406/1666 this epoch) | 490 ms/step | ~10 min left in epoch | rec 0.00140 lpips 0.0366 lr 1.96e-04
  step 15500 (506/1666 this epoch) | 490 ms/step | ~9 min left in epoch | rec 0.00141 lpips 0.0367 lr 1.96e-04
  step 15600 (606/1666 this epoch) | 490 ms/step | ~9 min left in epoch | rec 0.00141 lpips 0.0365 lr 1.95e-04
  step 15700 (706/1666 this epoch) | 490 ms/step | ~8 min left in epoch | rec 0.00140 lpips 0.0364 lr 1.95e-04
  step 15800 (806/1666 this epoch) | 490 ms/step | ~7 min left in epoch | rec 0.00140 lpips 0.0363 lr 1.95e-04
  step 15900 (906/1666 this epoch) | 490 ms/step | ~6 min left in epoch | rec 0.00139 lpips 0.0362 lr 1.95e-04
  step 16000 (1006/1666 this epoch) | 490 ms/step | ~5 min left in epoch | rec 0.00139 lpips 0.0361 lr 1.95e-04
  step 16100 (1106/1666 this epoch) | 490 ms/step | ~5 min left in epoch | rec 0.00139 lpips 0.0360 lr 1.95e-04
  step 16200 (1206/1666 this epoch) | 490 ms/step | ~4 min left in epoch | rec 0.00139 lpips 0.0359 lr 1.95e-04
